drug,MolLogP,MolWt,TPSA,NumHAcceptors,NumHDonors,NumRotatableBonds,Kappa1,Kappa2,Kappa3,Chi0v,Chi1v,BertzCT,FractionCSP3,RingCount,D50,apparent_solubility,COM_15min,PM_15min,COMDR_15min,label_15min
Albendazole,3.2433,265.338,67.01,4,2,4,12.7588,5.7699,2.951,11.1347,6.6872,553.2461,0.3333,2,38.11,0.88,0.346,0.192,1.802,0
Apixaban,2.6996,459.506,110.76,5,1,5,21.6924,8.6598,3.6845,18.8606,11.261,1263.7082,0.28,5,212.4,39.1,43.4901,5.4148,8.032,1
Apremilast,2.4342,460.508,119.08,7,1,8,23.2671,8.9929,4.5941,18.9854,11.8998,1190.7607,0.3182,3,10.6,37.0,37.8718,23.6294,1.603,0
Aripiprazole,4.8593,448.394,44.81,4,1,7,21.2885,9.9046,5.2032,18.5139,11.3247,898.0121,0.4348,4,185.98,20.8,10.0781,1.4463,6.968,1
Candesartan Cilexetil,6.3191,610.671,143.34,10,1,10,29.7958,13.5812,6.7927,25.1409,15.1229,1762.6183,0.3333,6,15.15,11.3,3.4313,0.7547,4.547,1
Carbamazepine,3.3872,236.274,46.33,1,1,0,10.5943,4.0359,1.5692,9.7063,5.729,596.9468,0.0,3,15.87,461.0,367.0021,329.5565,1.114,0
Celecoxib,3.5139,381.379,77.98,3,1,3,18.1504,6.2573,3.6304,14.3431,8.9773,1038.3523,0.1176,3,8.24,18.3,17.3666,10.7534,1.615,0
Ceritinib,6.3619,558.148,105.24,8,3,9,28.1363,11.8838,6.391,24.0797,14.8977,1389.2316,0.4286,4,72.51,21.7,19.9854,7.0037,2.854,1
Cinnarizine,5.107,368.524,6.48,2,0,6,18.6726,9.4959,4.7761,16.3223,10.179,811.2091,0.2308,4,96.78,5.4,4.796,0.6879,6.971,1
Dasatinib,3.3135,488.017,106.51,9,3,7,23.3709,10.4296,5.7722,20.0796,11.8531,1111.4322,0.3636,4,3.62,78.4,48.3417,29.7303,1.626,0
Deferasirox,3.7107,373.368,108.47,5,3,4,17.2922,6.8813,3.0517,14.5197,8.419,1166.5016,0.0,4,5.2,110.0,62.3979,45.205,1.38,0
Dipyridamole,-0.0176,504.636,145.44,12,4,12,26.521,13.1328,6.0499,21.0945,13.228,879.5223,0.75,4,64.35,12.8,15.1698,3.8299,3.961,1
Enzalutamide,3.9925,464.444,76.44,4,1,3,23.1496,7.8703,3.666,17.8588,9.5679,1187.2977,0.2381,3,148.93,3.4,3.2484,0.1587,20.469,1
Etoricoxib,4.1759,358.85,59.92,4,0,3,16.612,6.3388,3.4711,14.7657,9.5044,982.5323,0.1111,3,10.89,113.0,134.9153,58.5281,2.305,1
Ezetimibe,4.8883,409.432,60.77,3,2,6,20.0403,8.2408,3.9104,16.0803,9.7493,1019.8265,0.2083,4,7.88,9.5,7.0178,2.3025,3.048,1
Fenofibrate,4.68,360.837,52.6,4,0,6,19.0008,7.7025,5.069,15.463,8.3707,746.2706,0.3,2,255.26,0.7,1.2118,0.0458,26.482,1
Gemfibrozil,3.5732,250.338,46.53,2,1,6,14.5506,5.8942,4.0584,11.6171,6.2621,421.7469,0.5333,1,23.35,638.0,608.7562,473.2655,1.286,0
Glibenclamide,3.6417,494.013,113.6,5,3,8,24.8544,11.3798,7.1001,19.9684,12.684,1083.7758,0.3913,3,71.4,3.5,3.2989,0.2764,11.936,1
Griseofulvin,2.8103,352.77,71.06,6,0,3,16.6409,5.7015,2.0216,14.5225,7.7531,768.8345,0.4118,3,14.96,21.5,18.2129,11.5975,1.57,0
Indomethacin,3.9273,357.793,68.53,3,1,4,17.0467,6.6072,3.1047,14.5016,7.9985,973.2479,0.1579,3,32.01,566.0,363.4283,315.3323,1.153,0
Mefenamic acid,3.7452,241.29,49.33,2,2,3,12.1744,4.9184,2.3484,10.3969,5.7491,590.7975,0.1333,2,50.93,28.1,37.7994,22.0628,1.713,0
Nilotinib,6.3558,529.526,97.62,6,2,6,25.5838,10.3647,5.927,20.8611,11.8131,1649.0608,0.1071,5,83.61,0.5,0.5403,0.0807,6.696,1
Nimesulide,2.7586,308.315,98.54,5,1,5,14.7919,5.796,4.1802,11.832,7.7328,759.386,0.0769,2,15.1,36.2,24.8276,15.9986,1.552,0
Olaparib,2.3474,434.471,86.37,4,1,4,20.3581,8.181,3.8798,17.5129,10.8384,1259.5792,0.3333,5,28.2,119.0,130.049,83.1142,1.565,0
Rivaroxaban,2.5199,435.889,88.18,6,1,5,19.6859,8.3992,4.3645,16.8713,10.2038,932.1808,0.3158,4,9.5,9.2,6.4939,4.5489,1.428,0
Sertraline,5.1796,306.236,12.03,1,1,2,13.9401,5.7677,2.4604,12.8782,7.6705,624.1371,0.2941,3,49.05,202.0,158.9899,102.7039,1.548,0
Sorafenib,5.5497,464.831,92.35,4,3,5,22.8854,9.5636,5.8834,17.2132,9.441,1137.8789,0.0952,3,37.46,5.6,7.3185,2.3482,3.117,1
Tadalafil,2.2113,389.411,74.87,4,1,1,16.4722,5.7617,2.2393,15.8449,9.6677,1184.0141,0.2727,6,15.89,7.0,4.7013,3.6969,1.272,0
Thiabendazole,2.6864,201.254,41.57,3,1,1,7.6987,2.9198,1.1177,8.0833,5.2093,520.5286,0.0,3,18.97,51.9,45.2009,30.1182,1.501,0
