drug,D50,COM_15min,PM_15min,COMDR_15min,label_15min
Albendazole,38.11,0.346,0.192,1.802,0
Apixaban,212.4,43.4901,5.4148,8.032,1
Apremilast,10.6,37.8718,23.6294,1.603,0
Aripiprazole,185.98,10.0781,1.4463,6.968,1
Candesartan Cilexetil,15.15,3.4313,0.7547,4.547,1
Carbamazepine,15.87,367.0021,329.5565,1.114,0
Celecoxib,8.24,17.3666,10.7534,1.615,0
Ceritinib,72.51,19.9854,7.0037,2.854,1
Cinnarizine,96.78,4.796,0.6879,6.971,1
Dasatinib,3.62,48.3417,29.7303,1.626,0
Deferasirox,5.2,62.3979,45.205,1.38,0
Dipyridamole,64.35,15.1698,3.8299,3.961,1
Enzalutamide,148.93,3.2484,0.1587,20.469,1
Etoricoxib,10.89,134.9153,58.5281,2.305,1
Ezetimibe,7.88,7.0178,2.3025,3.048,1
Fenofibrate,255.26,1.2118,0.0458,26.482,1
Gemfibrozil,23.35,608.7562,473.2655,1.286,0
Glibenclamide,71.4,3.2989,0.2764,11.936,1
Griseofulvin,14.96,18.2129,11.5975,1.57,0
Indomethacin,32.01,363.4283,315.3323,1.153,0
Mefenamic acid,50.93,37.7994,22.0628,1.713,0
Nilotinib,83.61,0.5403,0.0807,6.696,1
Nimesulide,15.1,24.8276,15.9986,1.552,0
Olaparib,28.2,130.049,83.1142,1.565,0
Rivaroxaban,9.5,6.4939,4.5489,1.428,0
Sertraline,49.05,158.9899,102.7039,1.548,0
Sorafenib,37.46,7.3185,2.3482,3.117,1
Tadalafil,15.89,4.7013,3.6969,1.272,0
Thiabendazole,18.97,45.2009,30.1182,1.501,0
