model,kind,feature_set,metric,metric_name
SVC_rbf,classical-clf,4-Patzmann,0.8620689655172413,accuracy
RandomForest,classical-clf,4-Patzmann,0.896551724137931,accuracy
GradientBoosting,classical-clf,4-Patzmann,0.9310344827586207,accuracy
QK-SVM_angle,quantum-clf,4-Patzmann,0.9310344827586207,accuracy
QK-SVM_trained,quantum-clf,4-Patzmann,0.9655172413793104,accuracy
VQC,quantum-clf,4-Patzmann,0.8620689655172413,accuracy
PLS_regression,classical-reg,4-Patzmann,0.756250925756957,q2
QK-KRR_angle,quantum-reg,4-Patzmann,0.36460634417208493,q2
VQR_spsa_cobyla,quantum-reg,4-Patzmann,0.5997969271465069,q2
SVC_rbf,classical-clf,6-RDKit,0.896551724137931,accuracy
RandomForest,classical-clf,6-RDKit,0.896551724137931,accuracy
GradientBoosting,classical-clf,6-RDKit,0.896551724137931,accuracy
QK-SVM_angle,quantum-clf,6-RDKit,0.896551724137931,accuracy
QK-SVM_trained,quantum-clf,6-RDKit,0.7931034482758621,accuracy
VQC,quantum-clf,6-RDKit,0.896551724137931,accuracy
PLS_regression,classical-reg,6-RDKit,0.7404845458017595,q2
QK-KRR_angle,quantum-reg,6-RDKit,0.1922679192553638,q2
VQR_spsa_cobyla,quantum-reg,6-RDKit,0.5754963299888753,q2
QCNN,quantum-clf,6-RDKit,0.8620689655172413,accuracy
QCNN-R,quantum-reg,6-RDKit,0.512936645069688,q2
