kind,model,4-Patzmann,6-RDKit,delta_B_minus_A
classical-clf,GradientBoosting,0.931,0.8966,-0.0345
classical-clf,RandomForest,0.8966,0.8966,0.0
classical-clf,SVC_rbf,0.8621,0.8966,0.0345
classical-reg,PLS_regression,0.7563,0.7405,-0.0158
quantum-clf,QCNN,,0.8621,
quantum-clf,QK-SVM_angle,0.931,0.8966,-0.0345
quantum-clf,QK-SVM_trained,0.9655,0.7931,-0.1724
quantum-clf,VQC,0.8621,0.8966,0.0345
quantum-reg,QCNN-R,,0.5129,
quantum-reg,QK-KRR_angle,0.3646,0.1923,-0.1723
quantum-reg,VQR_spsa_cobyla,0.5998,0.5755,-0.0243
