drug,misclassified_of_7,mean_abs_err_reg,mean_pct_err_reg,true_COMDR15,label,D50,MolLogP,Kappa3,apparent_solubility,difficulty_score
Aripiprazole,0,11.11,159.5,6.97,1,185.98,4.8593,5.2032,20.8,1.595
Etoricoxib,7,0.61,26.3,2.31,1,10.89,4.1759,3.4711,113.0,1.263
Ceritinib,0,2.83,99.3,2.85,1,72.51,6.3619,6.391,21.7,0.993
Ezetimibe,4,0.9,29.6,3.05,1,7.88,4.8883,3.9104,9.5,0.8674285714285714
Dipyridamole,2,2.28,57.6,3.96,1,64.35,-0.0176,6.0499,12.8,0.8617142857142858
Glibenclamide,1,8.49,71.1,11.94,1,71.4,3.6417,7.1001,3.5,0.8538571428571429
Dasatinib,2,0.9,55.2,1.63,0,3.62,3.3135,5.7722,78.4,0.8377142857142857
Enzalutamide,1,13.67,66.8,20.47,1,148.93,3.9925,3.666,3.4,0.8108571428571427
Apixaban,1,4.74,59.0,8.03,1,212.4,2.6996,3.6845,39.1,0.7328571428571429
Fenofibrate,0,17.6,66.5,26.48,1,255.26,4.68,5.069,0.7,0.665
Gemfibrozil,0,0.67,52.2,1.29,0,23.35,3.5732,4.0584,638.0,0.522
Sertraline,2,0.35,22.6,1.55,0,49.05,5.1796,2.4604,202.0,0.5117142857142857
Mefenamic acid,0,0.59,34.3,1.71,0,50.93,3.7452,2.3484,28.1,0.34299999999999997
Candesartan Cilexetil,0,1.48,32.5,4.55,1,15.15,6.3191,6.7927,11.3,0.325
Sorafenib,0,0.95,30.6,3.12,1,37.46,5.5497,5.8834,5.6,0.306
Nilotinib,0,2.01,30.0,6.7,1,83.61,6.3558,5.927,0.5,0.3
Rivaroxaban,0,0.37,26.0,1.43,0,9.5,2.5199,4.3645,9.2,0.26
Thiabendazole,0,0.31,20.7,1.5,0,18.97,2.6864,1.1177,51.9,0.207
Nimesulide,0,0.3,19.6,1.55,0,15.1,2.7586,4.1802,36.2,0.196
Deferasirox,0,0.27,19.5,1.38,0,5.2,3.7107,3.0517,110.0,0.195
Olaparib,0,0.3,19.3,1.56,0,28.2,2.3474,3.8798,119.0,0.193
Cinnarizine,0,1.21,17.4,6.97,1,96.78,5.107,4.7761,5.4,0.174
Apremilast,0,0.27,16.6,1.6,0,10.6,2.4342,4.5941,37.0,0.166
Tadalafil,0,0.2,15.8,1.27,0,15.89,2.2113,2.2393,7.0,0.158
Griseofulvin,0,0.21,13.1,1.57,0,14.96,2.8103,2.0216,21.5,0.131
Albendazole,0,0.19,10.4,1.8,0,38.11,3.2433,2.951,0.88,0.10400000000000001
Indomethacin,0,0.12,10.1,1.15,0,32.01,3.9273,3.1047,566.0,0.10099999999999999
Carbamazepine,0,0.09,8.4,1.11,0,15.87,3.3872,1.5692,461.0,0.084
Celecoxib,0,0.11,6.9,1.62,0,8.24,3.5139,3.6304,18.3,0.069
