,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
MolLogP,0.1917,0.7544,0.2873,0.511,-0.0864,-0.1502,0.0251,0.2151,-0.0733,-0.0467,0.0276,0.0173,-0.0266,-0.0037,-0.0005,-0.0024
MolWt,0.9859,0.1752,-0.0575,-0.0123,0.058,0.0335,-0.0115,-0.0683,-0.1022,0.065,-0.0073,-0.0397,-0.0254,-0.0497,0.0288,0.0035
TPSA,0.7752,-0.3284,-0.4018,0.0156,-0.0706,0.2443,-0.2769,0.0358,-0.0389,-0.1141,0.0533,0.0291,-0.067,-0.0019,-0.004,0.0012
NumHAcceptors,0.8397,-0.3826,-0.1888,-0.1201,-0.0183,-0.0698,-0.1634,0.2886,0.0302,0.1278,0.0262,-0.0013,0.0311,0.004,0.0016,-0.0045
NumHDonors,0.48,-0.4455,-0.1849,0.4108,-0.4264,0.2213,0.4122,0.02,-0.0443,0.0097,-0.0173,0.0094,0.0168,-0.0017,0.0002,-0.0
NumRotatableBonds,0.8552,-0.3082,0.3248,0.1218,-0.0158,-0.1032,-0.0848,0.0509,0.2042,-0.1155,-0.1054,-0.0318,0.025,-0.0232,0.0019,0.0035
Kappa1,0.9925,0.0934,0.0819,0.0476,0.0426,0.0416,-0.0507,-0.0759,-0.1058,0.0309,-0.0427,-0.0765,-0.0055,-0.0069,-0.0282,-0.0206
Kappa2,0.9826,-0.0119,0.1794,0.0789,0.0114,-0.0435,0.07,-0.044,0.1041,0.038,-0.0082,-0.0561,-0.0623,0.0575,0.013,0.0014
Kappa3,0.8864,-0.0078,0.3125,0.2456,-0.1115,-0.0461,-0.0948,-0.1615,0.1193,0.0251,0.1596,0.0237,0.0376,-0.008,-0.004,0.0001
Chi0v,0.994,0.14,0.0394,-0.0234,0.1212,-0.0017,0.0192,-0.0057,-0.0739,0.0464,-0.0354,0.0222,0.0013,0.0025,-0.0209,0.0314
Chi1v,0.9853,0.0903,-0.0058,-0.0508,0.1102,-0.0748,0.0342,-0.0708,0.018,0.0254,-0.077,0.1515,-0.0087,0.0041,0.0036,-0.013
BertzCT,0.8081,0.4333,-0.367,0.0348,0.0993,0.1351,-0.0887,-0.0216,-0.0876,-0.0762,-0.0108,-0.0194,0.0867,0.0308,0.0126,-0.0004
FractionCSP3,0.5095,-0.5489,0.4586,-0.2376,0.2961,-0.1673,0.2038,0.0409,-0.1966,-0.0826,0.0596,0.0025,0.0074,0.0055,0.0041,-0.0019
RingCount,0.5968,0.3714,-0.4697,-0.2951,0.2666,0.0062,0.3498,0.0622,0.1765,-0.037,0.0577,-0.0155,-0.0111,-0.0152,-0.0075,-0.0026
D50,0.1762,0.3085,0.6848,-0.4484,-0.1731,0.4496,0.0193,0.0772,0.0306,0.0048,0.0016,0.0128,0.0041,0.0,0.0015,-0.0013
apparent_solubility,-0.4492,-0.1941,0.1401,0.4888,0.6582,0.3162,-0.0031,0.0315,0.0463,0.0366,-0.0018,0.0061,0.002,-0.0019,0.0011,-0.0012
