drug,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
Albendazole,-2.7457,-1.4908,0.3434,-0.1166,-1.2309,-0.472,0.2394,0.4036,-0.3108,-0.3637,0.1946,0.0745,-0.0375,0.1568,0.0937,0.0032
Apixaban,1.6225,0.8345,0.1298,-2.1533,0.2838,1.8852,0.0194,0.0986,0.1733,-0.3016,-0.0997,0.1555,-0.1794,-0.0088,-0.0124,0.0239
Apremilast,2.0642,-1.0588,-0.5403,-0.3186,0.3541,-0.3666,-1.3549,-0.4101,-0.0989,-0.1624,-0.5933,0.0563,0.0887,-0.018,-0.0104,0.0533
Aripiprazole,1.3527,1.0094,2.401,-0.9338,0.0804,-0.0333,0.7647,0.0799,0.2774,0.0105,-0.0031,0.0871,-0.0318,-0.1466,0.1104,-0.0016
Candesartan Cilexetil,6.7066,1.5054,-0.9003,0.5981,1.192,-0.7981,-0.8329,0.7926,0.3877,-0.3498,0.2305,-0.0858,-0.2537,0.088,0.0061,-0.0159
Carbamazepine,-5.26,0.1515,-0.7925,0.9099,0.9142,0.944,0.2441,0.0487,0.3596,0.3649,0.0331,0.1278,-0.3076,0.0496,-0.0842,-0.046
Celecoxib,-1.2703,0.4769,-0.9048,0.0405,-0.3829,-0.2736,-0.5497,-0.6676,-0.328,-0.0564,-0.0492,0.037,0.0299,-0.0442,0.0038,-0.078
Ceritinib,5.2341,0.4988,0.7111,1.2528,-0.2083,-0.2242,0.4758,0.5815,-0.5899,0.0703,-0.3037,0.5213,0.0607,-0.0403,-0.0655,-0.0107
Cinnarizine,-0.5946,1.8698,1.7497,-0.4417,0.2219,-1.2965,0.5549,-0.4797,0.9973,0.1972,-0.2294,-0.1705,0.0296,0.1567,-0.059,0.0212
Dasatinib,3.095,-1.3452,-0.6909,0.6565,-0.097,-0.1787,0.3347,0.2121,0.034,0.666,0.2263,0.05,0.1874,-0.0216,-0.0173,0.0641
Deferasirox,-0.5054,-0.0631,-2.1771,0.9667,-0.8889,0.96,0.267,0.3868,0.2464,-0.1755,-0.1978,-0.0903,0.0211,0.0079,0.0083,0.0295
Dipyridamole,5.4148,-4.7035,0.2997,-1.0283,-0.1328,0.2782,0.726,0.1825,0.4062,0.2073,-0.1668,-0.2034,-0.0093,0.0535,0.0,-0.0823
Enzalutamide,0.3596,1.1829,0.557,-0.896,-0.3666,0.88,-0.3865,-0.2363,-1.0498,0.341,-0.2079,-0.2831,0.002,0.0681,0.0091,-0.0461
Etoricoxib,-1.6391,0.9242,-0.4524,0.0457,0.4343,-0.6849,-0.9232,-0.1234,-0.0183,0.3326,-0.0988,0.2999,0.0664,0.1007,0.0402,-0.0347
Ezetimibe,0.1067,0.6894,-0.3175,0.7098,-0.4059,-0.7311,0.7898,-0.1876,0.1099,-0.3955,-0.4057,-0.2609,-0.0416,-0.1972,-0.0331,-0.0321
Fenofibrate,-0.6927,0.9592,3.2419,-1.2947,-0.8683,0.6461,-0.9963,0.3595,0.1913,0.0531,0.2415,-0.0357,0.1164,-0.0421,-0.0627,0.0091
Gemfibrozil,-3.4281,-2.2725,2.4202,1.8108,1.9975,0.1162,-0.1633,-0.0418,-0.1858,-0.4066,0.272,-0.0757,0.1635,-0.0361,-0.0477,-0.0149
Glibenclamide,3.3662,-0.9075,0.8151,0.7633,-0.8703,0.2503,0.1553,-1.0695,-0.0865,-0.1311,0.2137,0.3109,-0.1613,0.0542,0.0078,0.0445
Griseofulvin,-1.797,-0.7716,-0.3359,-1.4157,0.5975,-1.0547,-0.5874,0.6096,-0.8909,0.086,0.0528,-0.2382,-0.1401,-0.0177,-0.0348,0.036
Indomethacin,-2.0018,0.019,-0.0104,1.4753,1.8987,1.1471,-0.3164,0.0795,0.1616,0.1734,-0.2607,-0.1309,0.0435,-0.0237,0.0884,0.0541
Mefenamic acid,-3.8589,-0.4216,0.1302,0.2652,-1.5351,-0.0292,0.3413,0.1942,-0.0867,-0.2766,-0.1812,-0.0816,0.0321,0.1205,-0.0464,0.065
Nilotinib,3.4292,2.3965,-0.6078,0.8653,-0.3727,0.4448,0.02,0.292,0.0619,-0.0262,0.2355,-0.1885,0.3304,0.0264,0.0275,-0.0281
Nimesulide,-1.9271,-0.9639,-0.5591,0.142,-1.0238,-0.1684,-1.5385,-0.148,0.5448,-0.1036,0.1828,0.1634,0.0185,-0.097,-0.0001,-0.0458
Olaparib,0.6843,0.1428,-1.1043,-0.9029,1.236,0.1179,0.4263,-0.7397,-0.0535,-0.2343,0.1319,-0.0261,0.1619,0.1142,0.0373,-0.0099
Rivaroxaban,0.5982,-0.6229,-0.692,-0.7561,0.3062,-0.6803,-0.2075,-0.3505,0.1168,0.2698,0.2272,-0.0933,-0.1666,-0.1464,0.0351,0.0561
Sertraline,-3.3577,0.8308,0.9866,0.4122,0.4353,-0.6378,1.1333,0.1853,-0.4738,0.083,-0.0632,0.1291,-0.1301,-0.0071,0.0586,-0.02
Sorafenib,1.3064,0.7593,-0.1904,1.7873,-1.5478,0.2631,0.1152,-0.426,-0.237,0.1619,0.313,-0.3043,-0.1644,-0.0371,-0.0122,0.0079
Tadalafil,-0.8481,0.6034,-2.2872,-1.7921,0.8985,-0.0806,1.135,-0.1652,-0.2293,-0.1667,0.3525,0.1355,0.1636,-0.0571,-0.075,0.01
Thiabendazole,-5.414,-0.2326,-1.2228,-0.6513,-0.9191,-0.2227,0.1144,0.539,0.571,0.133,-0.0468,0.1201,0.1081,-0.0554,0.0347,-0.0117
