task,model,paradigm,accuracy,f1,recall_0,recall_1,q2,r2,mae,rmse,elapsed_s
classification,QK-SVM_angle,quantum,0.931,0.9167,1.0,0.8462,,,,,36.9
classification,QK-SVM_trained,quantum,0.9655,0.96,1.0,0.9231,,,,,1237.7
classification,VQC,quantum,0.8621,0.8333,0.9375,0.7692,,,,,133.5
classification,QCNN,quantum,0.8621,0.8182,1.0,0.6923,,,,,219.6
classification,SVC_rbf,classical,0.8621,0.8333,0.9375,0.7692,,,,,0.1
classification,RandomForest,classical,0.8966,0.88,0.9375,0.8462,,,,,2.3
classification,GradientBoosting,classical,0.931,0.9231,0.9375,0.9231,,,,,0.4
regression,QK-KRR_angle,quantum,,,,,0.3646,0.7562,2.8286,6.2427,31.2
regression,VQR_spsa_cobyla,quantum,,,,,0.5998,0.8629,2.7586,5.7615,258.4
regression,QCNN-R,quantum,,,,,0.5129,0.8068,2.6333,5.5068,436.0
regression,PLS_regression,classical,,,,,0.7563,0.8279,1.8672,3.6382,0.0
